driverId,sum(positions_gained)
296,34
451,
7,34
307,139
475,51
747,
383,80
700,7
154,105
714,
428,11
854,35
422,
595,13
323,16
424,8
586,13
434,26
348,10
356,124
459,18
432,4
443,
287,-1
389,50
737,8
379,5
258,89
787,8
796,7
203,57
570,
199,91
423,21
539,0
636,
730,12
597,-11
187,522
410,4
298,94
749,
466,0
594,17
629,20
372,
300,9
401,34
31,59
18,469
359,35
617,8
619,48
733,
761,
27,116
61,15
649,
658,-20
75,136
639,
801,9
549,21
26,81
286,9
736,19
130,
77,146
118,282
756,
841,53
452,
678,
60,113
68,77
280,211
439,6
491,
263,
645,
722,
436,18
545,4
729,1
93,25
582,
25,190
373,-7
271,11
233,153
297,11
288,77
115,
450,
293,8
294,26
461,
360,260
511,4
363,-1
665,9
81,200
33,127
622,24
592,15
269,10
593,38
48,172
500,16
141,67
148,21
180,38
240,15
243,243
97,13
239,227
377,
427,191
106,53
84,462
547,31
143,
9,16
313,43
465,11
701,21
405,18
781,
152,143
186,12
314,72
803,
237,69
289,390
550,
646,
680,32
325,
357,24
56,192
36,11
409,7
763,-5
49,170
698,
275,77
63,373
306,249
225,
235,227
762,9
39,100
426,
746,10
411,7
775,
720,11
417,
696,8
735,6
123,471
690,9
706,
662,16
94,352
771,1
583,25
161,
392,6
355,10
661,12
321,21
367,
353,25
598,
76,62
196,130
278,103
311,13
590,22
569,11
817,247
301,5
542,12
216,38
820,90
699,15
467,
574,
577,58
581,72
711,
15,173
232,89
155,169
672,8
415,
29,61
703,8
788,10
73,99
626,33
64,298
512,38
446,
113,9
652,
365,8
670,37
162,
184,187
85,50
556,22
488,
742,11
171,
183,51
98,9
528,21
99,141
458,
697,45
726,2
824,60
408,116
96,49
221,166
804,-3
476,57
745,0
302,12
224,437
505,6
218,
477,70
449,7
667,11
131,117
492,
46,23
716,
839,150
78,222
525,42
198,
845,33
669,63
517,11
341,137
653,55
230,173
329,139
537,-28
104,242
418,94
429,42
23,186
530,-9
111,52
349,
748,12
819,106
135,
190,34
303,
176,422
193,67
638,5
725,
245,
92,103
834,12
122,176
380,8
660,105
108,45
612,46
86,15
605,
627,157
58,87
281,
394,84
204,
430,158
540,
778,14
759,7
526,16
170,64
382,9
687,40
153,117
259,34
217,58
643,73
159,94
209,32
304,166
642,10
812,50
67,115
457,
497,6
490,
346,176
116,9
299,
513,80
358,39
806,7
318,
105,504
551,9
818,97
342,4
588,
485,
776,
37,230
603,10
386,65
222,220
575,
752,13
641,30
252,142
510,34
400,8
704,29
473,
844,67
333,99
518,32
215,
396,33
13,176
676,14
157,165
191,
14,284
182,289
651,31
175,249
760,
74,31
489,17
499,6
529,12
337,56
460,9
254,28
80,
226,
717,15
45,11
332,56
522,5
829,25
800,8
853,10
591,23
613,14
718,
169,107
205,96
647,10
635,
132,
317,46
685,
138,207
361,46
112,342
87,155
468,12
686,20
3,56
30,269
34,9
559,3
782,
695,4
22,350
28,
343,
628,12
813,95
843,38
856,-12
251,37
188,74
276,51
47,60
554,59
390,19
560,23
656,41
179,93
573,3
609,28
850,1
284,27
440,62
484,9
320,71
43,26
633,29
797,7
815,318
70,103
364,37
166,284
219,10
640,62
227,
120,47
326,
842,50
535,20
147,37
207,126
381,
455,22
770,8
501,110
290,125
753,-3
177,206
246,58
335,
404,61
840,286
345,154
474,
238,153
197,401
507,8
738,1
38,27
40,20
369,
292,19
827,
338,26
779,
531,-2
241,
231,81
576,
671,
683,9
261,
416,
832,158
242,
350,64
682,6
708,2
277,52
794,4
566,27
654,-14
519,20
833,35
316,
589,64
402,11
236,10
567,8
849,76
79,240
715,
24,175
336,
88,174
538,17
149,
305,126
472,
769,
142,
668,
463,5
295,
768,0
384,
563,24
371,
253,21
362,17
172,422
607,32
312,57
210,
784,7
618,
630,10
83,151
557,6
721,18
602,9
810,44
260,
831,100
508,
91,71
487,
129,135
579,0
674,16
192,137
324,12
340,43
504,
814,73
532,3
57,250
553,
675,8
691,6
125,34
666,
51,31
334,
740,4
272,13
442,
462,7
470,
743,4
54,62
282,8
448,14
483,27
851,1
727,14
521,-23
279,
351,21
823,30
69,210
309,34
836,82
710,12
584,
786,1
133,221
524,5
789,
139,114
146,30
310,
160,223
692,16
808,81
663,35
712,
16,138
35,194
634,
644,34
807,22
71,83
223,174
568,
110,405
565,
785,3
214,
267,31
520,29
826,150
248,
327,62
825,20
610,
174,29
206,200
772,13
453,29
502,4
496,23
614,
659,18
17,154
835,69
631,
374,72
208,19
790,
486,31
89,41
136,109
6,57
385,73
798,
201,74
244,
702,20
354,
347,226
464,
533,-5
837,12
319,
456,101
403,65
694,
220,
709,34
167,16
103,174
585,
189,38
270,11
156,487
754,
858,15
53,33
471,8
615,11
247,
482,30
751,5
616,
114,152
366,
213,
536,-25
679,16
739,
623,7
393,
178,271
173,239
515,19
158,307
811,70
838,106
266,
322,57
564,11
444,
562,8
212,150
757,
509,96
134,
1,155
793,5
774,5
20,205
561,
600,
681,
516,36
397,38
546,
165,23
181,67
65,489
265,78
498,39
580,74
689,16
855,21
62,53
339,
109,202
587,
21,453
66,42
846,2
469,7
767,17
637,
677,-6
758,
262,138
368,16
378,
370,63
435,3
655,3
664,4
693,18
611,47
847,62
145,113
330,50
572,9
438,19
124,
447,
544,7
234,
200,437
388,27
495,
625,15
11,161
101,83
433,12
543,6
387,5
419,
724,7
42,22
534,-8
308,15
478,32
541,44
406,11
425,8
59,74
250,109
352,24
8,350
479,13
52,37
441,17
195,43
107,15
527,-20
202,161
503,
5,150
273,0
421,
163,220
100,288
481,60
523,2
168,11
632,21
684,
274,15
493,4
596,13
601,
126,21
140,290
548,9
773,18
268,
621,
375,41
558,24
164,
802,4
328,64
228,
620,28
257,
185,96
256,43
799,-7
344,10
604,
90,97
229,114
413,3
657,9
194,91
19,29
578,52
41,86
128,30
102,-32
55,350
723,15
719,9
606,13
412,1
95,169
822,7
376,49
506,12
688,17
744,-4
44,358
144,
830,210
82,18
728,3
